Time (s),Temperature (C)
0,26.9560049026922
0.05,14.2073794155389
0.1,6.15164971859349
0.15,175.483647308419
0.2,148.947062569868
0.25,82.4987819238871
0.3,87.8904639248227
0.35,65.5592693342967
0.4,57.7092716279358
0.45,52.8338774745096
0.5,50.2439175719239
0.55,48.7962133123904
0.6,47.962790937005
0.65,47.4637476787463
0.7,47.1388521378037
0.75,46.9128884998206
0.8,46.7303526287315
0.85,46.5902529460336
0.9,46.4535606403459
0.95,46.338943799293
1,46.2152499961468
1.05,46.1073483599399
1.1,45.9940710221628
1.15,45.8792038112618
1.2,45.773444709666
1.25,45.6671873806391
1.3,45.5625068642722
1.35,45.4390999228918
1.4,45.3172919324149
1.45,45.2141855245425
1.5,45.1007327005023
1.55,44.988826584032
1.6,44.8764101248802
1.65,44.765070104422
1.7,44.6570247160705
1.75,44.5424558710442
1.8,44.4350455600709
1.85,44.3241724922233
1.9,44.2114932339166
1.95,44.105823759429
2,43.9917651704012
2.05,43.8843082079816
2.1,43.7764641738468
2.15,43.6637974039367
2.2,43.5575110783206
2.25,43.4475632210142
2.3,43.3389678026573
2.35,43.2297239721117
2.4,43.12381771599
2.45,43.0133756573152
2.5,42.9048986968843
2.55,42.7987182580394
2.6,42.6912108728808
2.65,42.5834231081366
2.7,42.4754315819571
2.75,42.3693866724222
2.8,42.2588275959768
2.85,42.1610649354751
2.9,42.042218434641
2.95,41.9446954113982
3,41.8334178641902
3.05,41.7326283464661
3.1,41.6205667120149
3.15,41.5189478478385
3.2,41.4103737720133
3.25,41.3096734691147
3.3,41.1969804152541
3.35,41.098080440434
3.4,40.991131215286
3.45,40.8844822810336
3.5,40.7845235318406
3.55,40.6722954628729
3.6,40.5750950753284
3.65,40.4696030044923
3.7,40.3608532686416
3.75,40.2619864227305
3.8,40.1546321683284
3.85,40.0568582559326
3.9,39.9457248290261
3.95,39.8461348254197
4,39.7451447725207
4.05,39.6370892879175
4.1,39.5413480735684
4.15,39.4299178223646
4.2,39.3364771205007
4.25,39.226124463987
4.3,39.1299028823825
4.35,39.0211009546489
4.4,38.9289112748006
4.45,38.81954220492
4.5,38.7195276182899
4.55,38.6180343683748
4.6,38.5210819439161
4.65,38.4118323743219
4.7,38.316602028518
4.75,38.2161237618602
4.8,38.1108943930403
4.85,38.0161319425772
4.9,37.9104618620749
4.95,37.812633174088
5,37.7112220232606
5.05,37.6164687846503
5.1,37.5079751933218
5.15,37.4146323196
5.2,37.3136584878334
5.25,37.2136715250898
5.3,37.1144662954864
5.35,37.0183257278175
5.4,36.9114291334909
