Temperature,Time
274.540531458861,0
274.220702188227,0.05
274.014846523085,0.1
274.056666231387,0.15
274.02265524199,0.2
273.931302188595,0.25
273.921882315944,0.3
273.90827321931,0.35
273.901067857862,0.4
273.89664199518,0.45
273.893861445876,0.5
273.892079821868,0.55
273.890988382354,0.6
273.890247693735,0.65
273.889777259824,0.7
273.889508184708,0.75
273.889307396401,0.8
273.889173622165,0.85
273.889106609201,0.9
273.889039768666,0.95
273.888973057449,1
273.888906444782,1.05
273.888839904319,1.1
273.888773412266,1.15
273.888706947155,1.2
273.888640489306,1.25
273.888574020699,1.3
273.888507523881,1.35
273.888440982225,1.4
273.888374380897,1.45
273.888307706099,1.5
273.888240945135,1.55
273.8881740863,1.6
273.888107118881,1.65
273.888040033233,1.7
273.887972820347,1.75
273.887905472195,1.8
273.887837981427,1.85
273.887770341246,1.9
273.887702545716,1.95
273.887634589225,2
273.887566466832,2.05
273.887498174139,2.1
273.887429706998,2.15
273.887361061835,2.2
273.847805951541,2.25
273.830115672051,2.3
273.822167684852,2.35
273.818366762877,2.4
273.816378207627,2.45
273.815239893868,2.5
273.814514974858,2.55
273.813991105128,2.6
273.813577029189,2.65
273.813224368868,2.7
273.812913944865,2.75
273.812609472052,2.8
273.812360625162,2.85
273.812046285826,2.9
273.811813308691,2.95
273.811531337924,3
273.811288643456,3.05
273.811006634888,3.1
273.810762825227,3.15
273.810492857,3.2
273.810250295871,3.25
273.809965317042,3.3
273.809729577484,3.35
273.809462094213,3.4
273.809197186259,3.45
273.80895430371,3.5
273.808667599725,3.55
273.808434617452,3.6
273.808168245433,3.65
273.807892602828,3.7
273.807651403502,3.75
273.807377583646,3.8
273.807137646585,3.85
273.806849134377,3.9
273.806603637084,3.95
273.806349172856,4
273.806069880573,4.05
273.805834415389,4.1
273.805541027662,4.15
273.805313309717,4.2
273.805021599092,4.25
273.804782718515,4.3
273.804496126773,4.35
273.804269455759,4.4
273.803977628936,4.45
273.803722969778,4.5
273.803460386328,4.55
273.803212505266,4.6
273.802919937865,4.65
273.802679839164,4.7
273.802416285771,4.75
273.802136656175,4.8
273.801894984399,4.85
273.801611125532,4.9
273.801357496941,4.95
273.801088541088,5
273.800842846926,5.05
273.800546167745,5.1
273.800307068389,5.15
273.800035590071,5.2
273.799768743228,5.25
273.79950426216,5.3
273.799249580764,5.35
273.798955168921,5.4
273.798729192557,5.45
273.798431149339,5.5
273.79818650466,5.55
273.797905966253,5.6
273.797654715276,5.65
273.797371977489,5.7
273.797114756326,5.75
273.796857436252,5.8
273.796564794654,5.85
273.796325500004,5.9
273.796044947655,5.95
273.795774605821,6
273.795517022453,6.05
273.79525371723,6.1
273.79495440359,6.15
273.794732203651,6.2
273.794429627821,6.25
273.794177026949,6.3
273.793909815521,6.35
273.793628945147,6.4
273.793372028803,6.45
273.793102299475,6.5
273.792823142406,6.55
273.79257078893,6.6
273.792291893108,6.65
273.792007292833,6.7
273.791778454068,6.75
273.791463875439,6.8
273.791221302056,6.85
273.790940967856,6.9
273.790675639192,6.95
273.7904087011,7
273.790120327489,7.05
273.789870045457,7.1
273.789587979753,7.15
273.789317502748,7.2
273.789053786551,7.25
273.788776701105,7.3
273.788494897037,7.35
273.788253073104,7.4
273.787949855577,7.45
273.787682352334,7.5
273.787438564133,7.55
273.787126241759,7.6
273.786885094551,7.65
273.78659568932,7.7
273.786322969667,7.75
273.786057275011,7.8
273.785784270366,7.85
273.785504748484,7.9
273.785232513529,7.95
273.784963182586,8
273.784683153745,8.05
273.784421767842,8.1
273.784125738499,8.15
273.78386760767,8.2
273.78358981492,8.25
273.783318085978,8.3
273.783031438565,8.35
273.782766368362,8.4
273.782499320717,8.45
273.782197054792,8.5
273.781948387533,8.55
273.781660532469,8.6
273.781391624707,8.65
273.781096689918,8.7
273.780842436906,8.75
273.780563897824,8.8
273.780264284676,8.85
273.780011518156,8.9
273.77973586407,8.95
273.779434757402,9
273.779185266666,9.05
273.778893010532,9.1
273.778608223065,9.15
273.778344216763,9.2
273.778071020807,9.25
273.777765157561,9.3
273.777525028646,9.35
273.777213190818,9.4
273.776943586719,9.45
273.776680980558,9.5
273.776386137675,9.55
273.776106822255,9.6
273.775835659137,9.65
273.775544174009,9.7
273.775276374661,9.75
273.774991652333,9.8
273.774711156045,9.85
273.774429269968,9.9
273.774158208466,9.95
273.773856129718,10
273.773603804754,10.05
273.773300847774,10.1
273.773032113372,10.15
273.772738017982,10.2
273.772465661877,10.25
273.77218970311,10.3
273.771895416496,10.35
273.771614915806,10.4
273.771343803528,10.45
273.771052550021,10.5
273.770764304124,10.55
273.770490546572,10.6
273.770211036936,10.65
273.769913210057,10.7
273.769650279428,10.75
273.769341155099,10.8
273.769086882309,10.85
273.768771626282,10.9
273.768512383801,10.95
273.768223448592,11
273.767928418262,11.05
273.767648241355,11.1
273.767371661236,11.15
273.767079075062,11.2
273.766785612994,11.25
273.766526351742,11.3
273.766213805853,11.35
273.76593474344,11.4
273.765659698486,11.45
273.765367071389,11.5
273.765078689495,11.55
273.764792593096,11.6
273.764505078455,11.65
273.764228496669,11.7
273.763917493406,11.75
273.763661896065,11.8
273.763352541573,11.85
273.763071813465,11.9
273.762777620429,11.95
273.76251074215,12
273.762185354667,12.05
273.761935186451,12.1
273.76162897675,12.15
273.761331654483,12.2
273.761063727246,12.25
273.760754528116,12.3
273.760482847006,12.35
273.760173625256,12.4
273.759907069388,12.45
273.759595549663,12.5
273.759326765654,12.55
273.759010587746,12.6
273.758747487086,12.65
273.758435738361,12.7
273.758157027538,12.75
273.757862360183,12.8
273.75756157841,12.85
273.757291786359,12.9
273.756983841169,12.95
273.756693237563,13
273.756417274706,13.05
273.75609376138,13.1
273.755833075438,13.15
273.755517762216,13.2
273.75523800505,13.25
273.754947669866,13.3
273.754636895412,13.35
273.754361479018,13.4
273.754066804873,13.45
273.753754089203,13.5
273.753484440875,13.55
273.753178784572,13.6
273.752884679155,13.65
273.752587095144,13.7
273.752301107828,13.75
273.752002394728,13.8
273.751695794795,13.85
273.751427091648,13.9
273.75110320953,13.95
273.750821187268,14
273.750529951711,14.05
273.750224268976,14.1
273.749933807985,14.15
273.749627122613,14.2
273.749355034807,14.25
273.749021525015,14.3
273.748753884413,14.35
273.748456574625,14.4
273.748131592594,14.45
273.747863564959,14.5
273.747553046552,14.55
273.747252794402,14.6
273.746956766656,14.65
273.746660263296,14.7
273.746360606806,14.75
273.746065020392,14.8
273.745752093598,14.85
273.745480768846,14.9
273.745150655878,14.95
273.744861588263,15
273.744571184652,15.05
273.744267292851,15.1
273.743951297255,15.15
273.743675703818,15.2
273.743352987941,15.25
273.743064692053,15.3
273.742760041615,15.35
273.742457743119,15.4
273.74215073839,15.45
273.74186964175,15.5
273.741544915494,15.55
273.741249389881,15.6
273.740950423919,15.65
273.74064836907,15.7
273.740342032855,15.75
273.740033935033,15.8
273.739746858556,15.85
273.739425820857,15.9
273.739137275412,15.95
273.738815813015,16
273.738538148304,16.05
273.738193216015,16.1
273.737935538429,16.15
273.737601302431,16.2
273.737292198341,16.25
273.737021103654,16.3
273.736673014742,16.35
273.736388728344,16.4
273.736091933055,16.45
273.735767740244,16.5
273.735466536561,16.55
273.735175606672,16.6
273.73483863645,16.65
273.734566825086,16.7
273.734229745572,16.75
273.733934198185,16.8
273.733636357007,16.85
273.733309045706,16.9
273.733019030122,16.95
273.732701991564,17
273.732390995694,17.05
273.732092669941,17.1
273.731778349201,17.15
273.731461368254,17.2
273.731158499532,17.25
273.730856755515,17.3
273.730535070855,17.35
273.730233012373,17.4
273.729916397237,17.45
273.729615402206,17.5
273.729299509868,17.55
273.728979460189,17.6
273.728681387623,17.65
273.728369211811,17.7
273.728046672416,17.75
273.727750952164,17.8
273.727429261076,17.85
273.727109004714,17.9
273.726824526562,17.95
273.726469945901,18
273.726201067454,18.05
273.725857861906,18.1
273.725563282287,18.15
273.725229214863,18.2
273.724932360137,18.25
273.724611954609,18.3
273.724305431467,18.35
273.723975809547,18.4
273.723669586761,18.45
273.72336830227,18.5
273.723019448829,18.55
273.722746541697,18.6
273.722397347278,18.65
273.722084491052,18.7
273.721793222337,18.75
273.721451904646,18.8
273.721153277758,18.85
273.720818885786,18.9
273.720516864534,18.95
273.720188418511,19
273.719881216194,19.05
273.71955329348,19.1
273.71924688505,19.15
273.718916662038,19.2
273.718606166744,19.25
273.718287102716,19.3
273.71796272583,19.35
273.71765664114,19.4
273.717320628339,19.45
273.717005902264,19.5
273.71670721555,19.55
273.716345283195,19.6
273.716066182067,19.65
273.715714483943,19.7
273.715425181954,19.75
273.715071031541,19.8
273.714777454306,19.85
273.714431328773,19.9
273.714133580311,19.95
273.713800060737,20
273.713468213566,20.05
273.713167198487,20.1
273.712830132376,20.15
273.71250770551,20.2
273.712189495915,20.25
273.711864032738,20.3
273.711539004853,20.35
273.711222813813,20.4
273.710883818442,20.45
273.710572076077,20.5
273.71024765737,20.55
273.709909562958,20.6
273.709594624528,20.65
273.709274553679,20.7
273.708944653257,20.75
273.708608562189,20.8
273.708296430582,20.85
273.707960796162,20.9
273.707645576942,20.95
273.707298633296,21
273.706993888889,21.05
273.706652745337,21.1
273.706334700956,21.15
273.705995567727,21.2
273.705671541688,21.25
273.705356133674,21.3
273.704996305249,21.35
273.704709952511,21.4
273.70434968221,21.45
273.704026733415,21.5
273.703701618936,21.55
273.703364890171,21.6
273.703051880616,21.65
273.702693734482,21.7
273.702390342049,21.75
273.702051032899,21.8
273.701698113956,21.85
273.701403868018,21.9
273.701050079976,21.95
273.700712952095,22
273.700403868593,22.05
273.700049548166,22.1
273.699722827504,22.15
273.699395096944,22.2
273.699053949497,22.25
273.698731350437,22.3
273.698390206545,22.35
273.698060557683,22.4
273.697715594731,22.45
273.697388644989,22.5
273.69706443138,22.55
273.696710054511,22.6
273.696384060462,22.65
