Time (s),Temperature (C)
0,-0.26969318863911
0.05,-0.619653341874539
0.1,-0.974725737543906
0.15,-0.922442266597272
0.2,-1.09299739367037
0.25,-1.43314190061244
0.3,-1.46387315265326
0.35,-1.56195316818309
0.4,-1.60788467064964
0.45,-1.63816995796168
0.5,-1.65680692967192
0.55,-1.66830234238051
0.6,-1.67538726449538
0.65,-1.67975765624902
0.7,-1.68247836709094
0.75,-1.68420120402226
0.8,-1.6853097469276
0.85,-1.68603879478275
0.9,-1.68654670327817
0.95,-1.6869008719828
1,-1.68717405237288
1.05,-1.68737497993783
1.1,-1.68755163695312
1.15,-1.68770427427796
1.2,-1.68784093709201
1.25,-1.68796967330343
1.3,-1.68809053296849
1.35,-1.68822761640041
1.4,-1.68836506199364
1.45,-1.68848677809081
1.5,-1.68861693786471
1.55,-1.68874758699855
1.6,-1.68887876231872
1.65,-1.68901050542411
1.7,-1.68913461071446
1.75,-1.68926753593263
1.8,-1.68940114014453
1.85,-1.68953543895464
1.9,-1.68967045339429
1.95,-1.68979774444279
2,-1.68994267683587
2.05,-1.69007995978347
2.1,-1.69021800919126
2.15,-1.69035684553586
2.2,-1.69049647734516
2.25,-1.69063691269031
2.3,-1.69077815779002
2.35,-1.69092021828436
2.4,-1.69106309944982
2.45,-1.69120680562622
2.5,-1.69135133997821
2.55,-1.69149670632396
2.6,-1.69165201635462
2.65,-1.69179913076709
2.7,-1.69194706547336
2.75,-1.6920958336317
2.8,-1.69225475679809
2.85,-1.69240527334006
2.9,-1.6925754614208
2.95,-1.69271829338464
3,-1.69288086993686
3.05,-1.69303482815587
3.1,-1.69319923599744
3.15,-1.69335490173938
3.2,-1.6935211181613
3.25,-1.69367848379892
3.3,-1.69384650064268
3.35,-1.69400555691095
3.4,-1.69416541098394
3.45,-1.69433608155521
3.5,-1.69449763548153
3.55,-1.69467009432691
3.6,-1.69483332844646
3.65,-1.69500756955807
3.7,-1.69518274669366
3.75,-1.69534851936567
3.8,-1.69552544654567
3.85,-1.695692877211
3.9,-1.69587156082008
3.95,-1.69604064090328
4,-1.69622107444684
4.05,-1.69640243033876
4.1,-1.69657400723617
4.15,-1.69676781077993
4.2,-1.69694109638903
4.25,-1.69712596264748
4.3,-1.69730084610489
4.35,-1.69749835452387
4.4,-1.69767492679767
4.45,-1.69786327223636
4.5,-1.69805251018005
4.55,-1.69824262447946
4.6,-1.69842242048281
4.65,-1.69862543031201
4.7,-1.6988068803538
4.75,-1.69900039004148
4.8,-1.69919477909406
4.85,-1.69937858946395
4.9,-1.69958610168783
4.95,-1.69978309042938
5,-1.69998091573842
5.05,-1.70016795007655
5.1,-1.70037907216624
5.15,-1.70056772024196
5.2,-1.70076885308396
5.25,-1.70097084657056
5.3,-1.70117368298401
5.35,-1.70137735966171
5.4,-1.70159385089687
5.45,-1.70178724842305
5.5,-1.70200548395513
5.55,-1.7022125729759
5.6,-1.70243264062162
5.65,-1.70264143339148
5.7,-1.7028632903108
5.75,-1.70307376184718
5.8,-1.70328501499921
5.85,-1.70350948123331
5.9,-1.7037099379707
5.95,-1.70393606886347
6,-1.70415058512185
6.05,-1.70436587388468
6.1,-1.70458195296658
6.15,-1.70482421339085
6.2,-1.70502928229683
6.25,-1.70526056208263
6.3,-1.70547992918057
6.35,-1.70570005584176
6.4,-1.70593389219039
6.45,-1.70615565442358
6.5,-1.70639119684768
6.55,-1.70662763984001
6.6,-1.7068518337461
6.65,-1.70708993445129
6.7,-1.70732892127188
6.75,-1.70754223955839
6.8,-1.70779607863017
6.85,-1.70802425282858
6.9,-1.70826653145872
6.95,-1.70849623751536
7,-1.70872666493727
7.05,-1.70897136595772
7.1,-1.70920336175561
7.15,-1.70944970237542
7.2,-1.70969691377053
7.25,-1.70994497124184
7.3,-1.7101938678631
7.35,-1.71044359655662
7.4,-1.71068029974379
7.45,-1.71094548576229
7.5,-1.71119771225494
7.55,-1.71143674322951
7.6,-1.71170451316533
7.65,-1.71194509775745
7.7,-1.71220045881063
7.75,-1.71245664533393
7.8,-1.71269942840087
7.85,-1.71295713705939
7.9,-1.71321567224567
7.95,-1.71347501037593
8,-1.71373514852422
8.05,-1.71399608367329
8.1,-1.71424334320221
8.15,-1.71452028262649
8.2,-1.71478362194375
8.25,-1.71504772582125
8.3,-1.7153126108235
8.35,-1.71557827438369
8.4,-1.71584471455787
8.45,-1.71611193076257
8.5,-1.7163947277545
8.55,-1.71664871210476
8.6,-1.71691821294695
8.65,-1.71718850270503
8.7,-1.71747453721736
8.75,-1.71774644566329
8.8,-1.71801908769095
8.85,-1.71830758753771
8.9,-1.71858181900751
8.95,-1.71885677221576
9,-1.7191476987411
9.05,-1.71940893612174
9.1,-1.71970139905926
9.15,-1.71999475547221
9.2,-1.7202735498326
9.25,-1.72055304614315
9.3,-1.72084874843256
9.35,-1.72111424869667
9.4,-1.72141145656002
9.45,-1.72169393914476
9.5,-1.72197712242735
9.55,-1.72227671457347
9.6,-1.72257715833723
9.65,-1.72286265034978
9.7,-1.7231646352505
9.75,-1.72345160401824
9.8,-1.72375514213337
9.85,-1.72404357719233
9.9,-1.72434865573632
9.95,-1.72463854700663
10,-1.72494515799116
10.05,-1.72523649793612
10.1,-1.72554463552638
10.15,-1.72583741840361
10.2,-1.72614707386396
10.25,-1.72645754589189
10.3,-1.72676880419402
10.35,-1.72708083868781
10.4,-1.72739364161788
10.45,-1.72769079637197
10.5,-1.7280050362877
10.55,-1.72832006546349
10.6,-1.72861932672885
10.65,-1.72893578660461
10.7,-1.7292530340041
10.75,-1.72955439409225
10.8,-1.72988973862056
10.85,-1.73019256076151
10.9,-1.73052949032854
10.95,-1.73083373034507
11,-1.73115539552612
11.05,-1.73147782692149
11.1,-1.73180099671271
11.15,-1.73212490265587
11.2,-1.73244954066104
11.25,-1.73277490590033
11.3,-1.73308393064167
11.35,-1.73342775372157
11.4,-1.73375532999552
11.45,-1.7340835986987
11.5,-1.73441258291552
11.55,-1.73474227924726
11.6,-1.73507268640009
11.65,-1.73540380402329
11.7,-1.73573563114519
11.75,-1.73608556141016
11.8,-1.73640144853147
11.85,-1.73675282784518
11.9,-1.73708755710328
11.95,-1.73742295053336
12,-1.73775903499143
12.05,-1.73811342765094
12.1,-1.73843331963553
12.15,-1.7387891309881
12.2,-1.73914578839953
12.25,-1.73946768533523
12.3,-1.73982570828662
12.35,-1.74016673061169
12.4,-1.74052626798789
12.45,-1.74085077570703
12.5,-1.7412116901416
12.55,-1.74155545452021
12.6,-1.74191787054059
12.65,-1.74226302652289
12.7,-1.74262689785223
12.75,-1.74297342859836
12.8,-1.74333873771678
12.85,-1.74370482406709
12.9,-1.74403517871326
12.95,-1.74440255407319
13,-1.74477073308924
13.05,-1.74512131600511
13.1,-1.74549086975401
13.15,-1.74584278080374
13.2,-1.74621373297146
13.25,-1.74656697083861
13.3,-1.7469208075853
13.35,-1.74729381537304
13.4,-1.74764901018114
13.45,-1.74802341535019
13.5,-1.74839857824031
13.55,-1.7487557804493
13.6,-1.74913228488407
13.65,-1.74950953623056
13.7,-1.74988749743562
13.75,-1.75024734250763
13.8,-1.75062661032905
13.85,-1.75100661105114
13.9,-1.75136839036855
13.95,-1.75176863146157
14,-1.75213176467219
14.05,-1.75251444418626
14.1,-1.7528978411774
14.15,-1.75328192039592
14.2,-1.75366667703787
14.25,-1.75403295351998
14.3,-1.7544381379397
14.35,-1.75480573072463
14.4,-1.75519308631516
14.45,-1.75560041839668
14.5,-1.75596991737478
14.55,-1.75635926621379
14.6,-1.75674930676286
14.65,-1.75714000789799
14.7,-1.75753136685614
14.75,-1.75792338046165
14.8,-1.7583160455336
14.85,-1.75870935948711
14.9,-1.75908374433783
14.95,-1.75949785889793
